Country ,Population,GDP,Climate,Industrial,Solar,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22 ,Hour 23
Syria,2.47E+07,2.36E+10,Temperate,N/A,0.5,0.813532145,0.776958197,0.747707662,0.739607623,0.759167964,0.784422589,0.864183204,0.935810193,0.986282955,0.984691558,0.99774533,1.005913371,1.008390859,1.047475468,1.032866372,1.081713736,1.194830259,1.311198823,1.316929596,1.252698169,1.208801221,1.147821834,1.058368953,0.942881919
Tajikistan,1.06E+07,1.42E+10,Continential,15,0,0.722805217,0.799919993,0.87907088,0.870669026,0.870404657,0.92715833,1.014425829,1.042687874,1.050547074,1.046238312,1.041887808,1.045702616,1.02709934,1.012575242,1.008245609,1.022220096,1.030127996,1.070558003,1.09270476,1.116866756,1.106435749,1.102092202,1.050911162,1.048645468
Thailand,7.17E+07,5.27E+11,Tropical,24,3,0.883670078,0.855058561,0.784826512,0.761720944,0.73395543,0.735938681,0.774050386,0.819318437,0.989337136,1.142810253,1.203389556,1.212626236,1.12077259,1.1832658,1.235801148,1.230350675,1.172711576,1.099996995,1.006437476,1.03644975,1.034119776,1.015909926,0.997700076,0.969782004
Uzbekistan,3.64E+07,1.15E+11,Arid,20,0.59,0.88227466,0.871773589,0.865375324,0.864702516,0.880625623,0.932444978,0.998960557,1.012311165,1.020675083,1.026374157,1.031162962,1.02335312,1.004633246,1.008511782,1.012100088,1.024962581,1.047574183,1.089908275,1.108047688,1.119445835,1.11304757,1.088087738,1.048972567,0.924674714
Vietnam,1.01E+08,4.76E+11,Tropical,24,9,0.926234462,0.910233964,0.886158447,0.872550547,0.862631235,0.857895885,0.887404592,0.997962553,1.060319636,1.069989719,1.061266706,1.05045017,1.078712732,1.100694726,1.091872021,1.078613041,1.050300632,1.026424499,1.035197358,1.015508271,1.054786753,1.063459921,1.013115673,0.948216455
Albania,2377130,27046430000,Temperate,22.4,3,0.852532353,0.747723278,0.690206103,0.669755552,0.67486819,0.746445119,0.93050008,1.150343505,1.179741173,1.104329765,1.030196517,0.963732226,0.912605848,0.924109283,0.936890877,0.952228791,0.981626458,1.072375779,1.183575651,1.347180061,1.439207541,1.34845822,1.184853811,0.97651382
Austria,9177980,5.35E+11,Continential ,24.6,14,0.824485272,0.794317667,0.7683528,0.76150176,0.784530466,0.85275301,1.004339472,1.125297754,1.176018481,1.151665623,1.128521773,1.117064991,1.075095173,1.040149111,1.031225487,1.014069101,1.007793778,1.066171549,1.111250243,1.126852192,1.096396727,1.030304339,0.990464676,0.921378556
Belgium,11858610,6.71E+11,Temperate,18.7,14,0.895745731,0.868238867,0.837992351,0.824489776,0.827570845,0.853860895,0.928226023,1.027923571,1.086974956,1.125412327,1.136085731,1.120409754,1.118290479,1.134884531,1.104338235,1.086613763,1.036723353,1.024530232,1.023983759,1.033312319,0.992952403,0.997507388,0.974999974,0.938932736
Bosnia,3164250,29613570000,Continential ,22.4,4,0.873087832,0.662902875,0.636766069,0.669540793,0.697301518,0.942086628,1.253594675,1.595850511,1.528404514,1.21133721,0.884846431,0.801184948,0.384501447,0.29404795,0.440390353,0.474812704,0.853162223,1.077867628,1.437299078,1.724460188,1.747218766,1.597106974,1.22237275,0.989855936
Bulgaria,6441420,1.13E+11,Diverse,21.1,18,0.840479235,0.816953709,0.808982615,0.80564251,0.847372955,0.944174629,1.035574709,1.096928574,1.104006356,1.071991909,1.046142299,1.024597276,1.02412117,1.010174209,0.999434829,0.985139378,0.990783934,1.044863684,1.113027829,1.185859775,1.149793519,1.089026197,1.02504884,0.939879859
