Country,Latitude,Longitude,UTC_Offset_h,Hour_00_Local_AC_W,Hour_01_Local_AC_W,Hour_02_Local_AC_W,Hour_03_Local_AC_W,Hour_04_Local_AC_W,Hour_05_Local_AC_W,Hour_06_Local_AC_W,Hour_07_Local_AC_W,Hour_08_Local_AC_W,Hour_09_Local_AC_W,Hour_10_Local_AC_W,Hour_11_Local_AC_W,Hour_12_Local_AC_W,Hour_13_Local_AC_W,Hour_14_Local_AC_W,Hour_15_Local_AC_W,Hour_16_Local_AC_W,Hour_17_Local_AC_W,Hour_18_Local_AC_W,Hour_19_Local_AC_W,Hour_20_Local_AC_W,Hour_21_Local_AC_W,Hour_22_Local_AC_W,Hour_23_Local_AC_W,Daily_Energy_Wh,Peak_AC_W,Peak_Hour_Local
Morocco,31.79,-7.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.3,1274.47,2003.54,2471.55,2703.6,2710.05,2491.15,2037.23,1324.37,325.63,0.0,0.0,0.0,0.0,0.0,0.0,17606.89,2710.05,13
Mozambique,-18.67,35.53,2,0.0,0.0,0.0,0.0,0.0,0.0,252.79,991.22,1735.07,2340.97,2765.84,2997.45,3033.81,2874.9,2521.36,1980.09,1278.76,507.4,4.26,0.0,0.0,0.0,0.0,0.0,23283.93,3033.81,12
Myanmar,21.92,95.96,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.86,1353.29,2056.03,2527.63,2777.24,2810.81,2629.21,2227.92,1598.55,734.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19139.69,2810.81,12
Namibia,-22.96,18.49,1,0.0,0.0,0.0,0.0,0.0,0.0,207.19,936.85,1693.96,2320.68,2769.44,3026.35,3089.01,2957.42,2631.81,2117.16,1435.6,658.68,70.31,0.0,0.0,0.0,0.0,0.0,23914.46,3089.01,12
Nauru,-0.52,166.93,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.02,1406.53,2085.53,2574.77,2864.33,2949.77,2833.39,2514.57,1994.96,1289.42,464.01,0.0,0.0,0.0,0.0,0.0,0.0,21567.29,2949.77,12
Nepal,28.39,84.12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.23,1690.15,2346.45,2766.53,2967.41,2956.0,2731.91,2287.4,1603.62,614.05,0.0,0.0,0.0,0.0,0.0,0.0,20703.77,2967.41,12
Netherlands,52.13,5.29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.68,934.82,1660.33,2022.96,2082.17,1847.2,1280.1,334.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10186.98,2082.17,12
New Zealand,-40.9,174.89,12,0.0,0.0,0.0,0.0,0.0,0.0,129.44,589.17,1340.19,2025.64,2563.0,2921.28,3091.13,3070.65,2860.03,2461.89,1888.78,1179.32,434.93,96.2,0.0,0.0,0.0,0.0,24651.66,3091.13,12
Nicaragua,12.87,-85.21,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.83,1442.41,2125.53,2596.18,2854.7,2904.24,2745.66,2376.51,1794.14,1004.26,110.87,0.0,0.0,0.0,0.0,0.0,0.0,20522.34,2904.24,12
Niger,17.61,8.08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.46,1516.19,2169.7,2602.26,2818.37,2821.97,2613.13,2187.99,1541.99,681.65,0.0,0.0,0.0,0.0,0.0,0.0,19602.72,2821.97,13
Nigeria,9.08,8.68,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,672.23,1459.99,2080.38,2496.08,2701.29,2696.46,2481.54,2056.14,1426.7,633.7,0.0,0.0,0.0,0.0,0.0,0.0,18706.92,2701.29,12
North Korea,40.34,127.51,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.99,1430.07,2189.37,2655.65,2887.07,2898.49,2690.55,2250.3,1529.41,291.24,0.0,0.0,0.0,0.0,0.0,0.0,18971.14,2898.49,13
North Macedonia,41.61,21.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.31,1671.04,2212.9,2485.05,2510.66,2291.68,1810.28,1015.32,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14820.43,2510.66,12
Norway,60.47,8.47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.65,918.56,1325.05,1321.89,908.83,165.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4815.74,1325.05,12
Oman,21.51,55.92,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,1619.41,2243.18,2639.86,2817.46,2780.32,2527.47,2053.06,1348.4,420.52,0.0,0.0,0.0,0.0,0.0,0.0,19211.67,2817.46,12
Pakistan,30.38,69.35,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.12,1434.95,2123.83,2561.12,2767.9,2752.68,2514.83,2044.51,1318.07,305.28,0.0,0.0,0.0,0.0,0.0,0.0,18278.28,2767.9,12
Palau,7.51,134.58,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.1,1238.84,1972.52,2505.2,2830.47,2949.46,2863.62,2571.82,2072.48,1370.89,506.05,0.0,0.0,0.0,0.0,0.0,0.0,21243.45,2949.46,12
Palestine,31.95,35.23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.41,975.84,1760.59,2281.0,2558.96,2606.08,2424.32,2006.14,1333.66,400.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16398.9,2606.08,12
Panama,8.54,-80.78,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,915.92,1718.15,2327.57,2729.38,2923.4,2911.68,2694.04,2268.36,1635.59,814.21,13.86,0.0,0.0,0.0,0.0,0.0,21019.75,2923.4,12
Papua New Guinea,-6.31,143.96,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.81,1017.85,1759.66,2341.14,2731.26,2922.12,2913.18,2704.4,2296.56,1698.34,945.55,182.0,0.0,0.0,0.0,0.0,0.0,21752.85,2922.12,12
Paraguay,-23.44,-58.44,-4,0.0,0.0,0.0,0.0,0.0,0.0,142.57,785.49,1520.9,2155.39,2623.91,2904.82,2992.6,2886.58,2587.61,2102.07,1454.07,715.53,106.53,0.0,0.0,0.0,0.0,0.0,22978.05,2992.6,12
Peru,-9.19,-75.02,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.37,612.02,1409.76,2092.8,2597.39,2906.46,3017.17,2929.73,2643.91,2161.75,1497.65,706.24,32.04,0.0,0.0,0.0,0.0,0.0,22607.27,3017.17,12
Philippines,12.88,121.77,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.59,1283.13,2007.06,2519.64,2819.59,2910.06,2792.56,2465.17,1924.84,1174.31,267.5,0.0,0.0,0.0,0.0,0.0,0.0,20546.46,2910.06,12
Poland,51.92,19.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.06,1498.08,1886.64,1968.64,1755.09,1217.45,337.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9420.94,1968.64,12
Portugal,39.4,-8.22,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.23,1144.01,1963.73,2470.73,2726.58,2750.41,2543.78,2092.03,1347.41,205.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17268.13,2750.41,12
